,id,email,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,confirmation_token,confirmed_at,confirmation_sent_at,unconfirmed_email,created_at,updated_at,nickname,family_name,first_name,tel,budget_min,budget_max,desired_area,residense_type,preference1,preference2,preference3,preference4,preference5,preference6,preference7,preference8,preference9,needs_1,needs_2,needs_3,needs_4,needs_5,needs_free_text,avatar,cluster,buyer_id,gender,birth_year,company_name,company_address,company_tel,company_size_min,company_size_max,company_age_min,company_age_max,trade_area,brokering_number_min,brokering_number_max,brokering_career_length_min,brokering_career_length_max,explanation_career,explanation_strength,explanation_license,agent_id
0,1,agent1@test.com,$2a$12$nWERLgKTFrRfssxbP579yeCIK3XFrZndZrEQijqIVa/kwW8cdos16,,,,,2022-01-21 11:16:50,,,2022-01-21 11:16:51.473420,2022-01-21 11:16:51.473420,Shinji Araya,新谷,真次,9013243546,,,,,5,4,3,4,3,2,2,4,5,,,,,,,women04.png,,,男,1979.0,ダミー会社名,岩手県熊本市東区竹下,90232345432.0,6.0,10.0,0.0,1.0,岩手県,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,1
1,2,agent2@test.com,$2a$12$ishdbeH82XNC0LNXb6Rn/OTM6VeO6GBAH5Z6zG5hE1kND86tOICBm,,,,,2022-01-21 11:16:51,,,2022-01-21 11:16:53.545566,2022-01-21 11:16:53.545566,Shouko Tahara,田原,翔己,9013243546,,,,,4,5,3,4,4,4,3,5,1,,,,,,,women05.png,,,女,1965.0,ダミー会社名,熊本県小千谷市北沢,90232345432.0,6.0,10.0,0.0,1.0,熊本県,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,2
2,3,agent3@test.com,$2a$12$SU8ok4vUv9RiLgA.IHGQNOnrBdsdhs6Jy.ISIREgxunqWM21e3lgS,,,,,2022-01-21 11:16:53,,,2022-01-21 11:16:56.426966,2022-01-21 11:16:56.426966,Reimi Kajiwara,梶原,礼未,9013243546,,,,,2,2,4,5,4,3,4,3,2,,,,,,,women04.png,,,女,1990.0,ダミー会社名,沖縄県南国市和田山町岡田,90232345432.0,6.0,10.0,0.0,1.0,沖縄県,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,3
3,4,agent4@test.com,$2a$12$4OqcUztx9FpKLSqBQYdWZOxWTIqUfzVdmUzQg2qyIH68fK2Hn0ooG,,,,,2022-01-21 11:16:56,,,2022-01-21 11:16:58.366580,2022-01-21 11:16:58.366580,Kotowa Niwa,丹羽,殊和,9013243546,,,,,4,2,5,4,2,4,1,5,5,,,,,,,women01.png,,,女,1964.0,ダミー会社名,宮崎県越智郡上島町翠ケ丘町,90232345432.0,6.0,10.0,0.0,1.0,宮崎県,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,4
4,5,agent5@test.com,$2a$12$nB5Yc2i60M0/EBVEx2hwAuCXC0d/iKpqXLG63X.9PD6pKo1dRQACK,,,,,2022-01-21 11:16:58,,,2022-01-21 11:16:59.658179,2022-01-21 11:16:59.658179,Eri Sugiyama,杉山,枝李,9013243546,,,,,5,3,1,1,4,1,5,2,5,,,,,,,women03.png,,,女,1979.0,ダミー会社名,北海道井原市松島町,90232345432.0,6.0,10.0,0.0,1.0,北海道,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,5
5,6,agent6@test.com,$2a$12$NldT.sS/oG4IXJ1cJna5m.V0ZhGbs2ABWaiwCCoi7D9kgePNI64UO,,,,,2022-01-21 11:16:59,,,2022-01-21 11:17:01.038658,2022-01-21 11:17:01.038658,Masamune Kanno,菅野,正宗,9013243546,,,,,3,2,5,1,3,4,5,3,4,,,,,,,women04.png,,,男,1995.0,ダミー会社名,山形県大阪市城東区萩原町河田方,90232345432.0,6.0,10.0,0.0,1.0,山形県,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,6
6,7,agent7@test.com,$2a$12$GWCf3swtYxLrp3TSXZbRE.Nc1HX2f/iHW41vZzmYeFnYDWSJZss0u,,,,,2022-01-21 11:17:01,,,2022-01-21 11:17:02.374388,2022-01-21 11:17:02.374388,Hodaka Tajima,田島,帆高,9013243546,,,,,4,5,1,1,1,3,1,4,3,,,,,,,women03.png,,,女,1967.0,ダミー会社名,兵庫県中川郡幕別町竹田向代町川町,90232345432.0,6.0,10.0,0.0,1.0,兵庫県,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,7
7,8,agent8@test.com,$2a$12$XHQ/mPwXd9Dkb3EyWKkxnuqqxG0qkEb/igKtB2OcLlTWx7s5H4ozC,,,,,2022-01-21 11:17:02,,,2022-01-21 11:17:03.329811,2022-01-21 11:17:03.329811,Riku Yamaoka,山岡,凌空,9013243546,,,,,2,2,2,5,5,2,2,5,5,,,,,,,women01.png,,,男,1980.0,ダミー会社名,福島県足立区栄町,90232345432.0,6.0,10.0,0.0,1.0,福島県,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,8
8,9,agent9@test.com,$2a$12$bYgI.mJ6l0wCTGEOcQJtVupSQd3w5EPpFdbcRR0QiLuhy4rFcGIg2,,,,,2022-01-21 11:17:03,,,2022-01-21 11:17:04.502976,2022-01-21 11:17:04.502976,Takeaki Oomori,大森,健誠,9013243546,,,,,5,5,3,2,1,1,5,5,5,,,,,,,women03.png,,,男,1983.0,ダミー会社名,石川県亀田郡七飯町木曽川町内割田,90232345432.0,6.0,10.0,0.0,1.0,石川県,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,9
9,10,agent10@test.com,$2a$12$MY9rCHO.IEgpKeUl1ihtr..SPMXYAjvrK1MyYsDcNJiODy1qGqYTq,,,,,2022-01-21 11:17:04,,,2022-01-21 11:17:05.834156,2022-01-21 11:17:05.834156,Masahiro Ishibashi,石橋,昌弘,9013243546,,,,,5,4,5,5,1,1,5,1,3,,,,,,,women01.png,,,男,1963.0,ダミー会社名,佐賀県横手市八尾町井田,90232345432.0,6.0,10.0,0.0,1.0,佐賀県,101.0,250.0,1.0,3.0,ダミーテキスト,ダミーテキスト,ダミーテキスト,10
